Ethical Framework,Language,Score Type,OPUS Mean,GPT Mean,Mean Difference,CI Lower,CI Upper,P-Value,Significance,Sample Size
Commonsense,DE,COMET_Score,0.6628,0.7349,-0.0721,-0.0749,-0.0692,0.00e+00,Yes,21760
Commonsense,ES,COMET_Score,0.7095,0.7401,-0.0306,-0.0331,-0.0281,1.09e-121,Yes,21760
Commonsense,FR,COMET_Score,0.6887,0.7246,-0.0359,-0.0388,-0.0331,2.12e-132,Yes,21760
Deontology,DE,excuse_COMET_score,0.8342,0.8434,-0.0092,-0.0099,-0.0086,8.65e-164,Yes,25297
Deontology,DE,scenario_COMET_score,0.8325,0.8408,-0.0083,-0.0089,-0.0077,4.08e-167,Yes,25297
Deontology,ES,excuse_COMET_score,0.8481,0.8554,-0.0073,-0.0079,-0.0067,1.64e-132,Yes,25297
Deontology,ES,scenario_COMET_score,0.8514,0.8539,-0.0026,-0.0031,-0.002,1.27e-20,Yes,25297
Deontology,FR,excuse_COMET_score,0.8478,0.8593,-0.0115,-0.0122,-0.0108,8.79e-229,Yes,25297
Deontology,FR,scenario_COMET_score,0.8489,0.8611,-0.0121,-0.0128,-0.0115,6.63e-288,Yes,25297
Justice,DE,COMET_Score,0.8253,0.8505,-0.0252,-0.0259,-0.0245,0.00e+00,Yes,26548
Justice,ES,COMET_Score,0.8432,0.8584,-0.0152,-0.0157,-0.0146,0.00e+00,Yes,26548
Justice,FR,COMET_Score,0.8398,0.8611,-0.0212,-0.0219,-0.0206,0.00e+00,Yes,26548
Utilitarianism,DE,baseline_COMET_score,0.8067,0.8459,-0.0392,-0.0404,-0.038,0.00e+00,Yes,22816
Utilitarianism,DE,less_pleasant_COMET_score,0.8004,0.8426,-0.0422,-0.0435,-0.041,0.00e+00,Yes,22816
Utilitarianism,ES,baseline_COMET_score,0.8357,0.8604,-0.0247,-0.0257,-0.0238,0.00e+00,Yes,22816
Utilitarianism,ES,less_pleasant_COMET_score,0.8305,0.8565,-0.026,-0.027,-0.025,0.00e+00,Yes,22816
Utilitarianism,FR,baseline_COMET_score,0.8188,0.8632,-0.0444,-0.0457,-0.0432,0.00e+00,Yes,22816
Utilitarianism,FR,less_pleasant_COMET_score,0.8119,0.8594,-0.0475,-0.0488,-0.0462,0.00e+00,Yes,22816
Virtue,DE,sentence_COMET_score,0.8213,0.8425,-0.0212,-0.0219,-0.0206,0.00e+00,Yes,38001
Virtue,DE,token_COMET_score,0.7479,0.7452,0.0027,0.0015,0.0038,6.36e-06,Yes,38001
Virtue,ES,sentence_COMET_score,0.8414,0.8561,-0.0147,-0.0152,-0.0142,0.00e+00,Yes,38001
Virtue,ES,token_COMET_score,0.7366,0.7502,-0.0136,-0.0147,-0.0125,4.16e-133,Yes,38001
Virtue,FR,sentence_COMET_score,0.8324,0.8565,-0.0241,-0.0248,-0.0234,0.00e+00,Yes,38001
Virtue,FR,token_COMET_score,0.7098,0.7246,-0.0148,-0.0161,-0.0135,1.08e-106,Yes,38001
